"""","有効求職者数（A)_総数_人","有効求職者数（A)_男_人","有効求職者数（A)_女_人","新規求職申込件数_総数_件","新規求職申込件数_男_件","新規求職申込件数_女_件","就職件数（Ｂ）_総数_件","就職件数（Ｂ）_男_件","就職件数（Ｂ）_女_件","就職率（Ｂ／Ａ×１００）_総数_％","就職率（Ｂ／Ａ×１００）_男_％","就職率（Ｂ／Ａ×１００）_女_％","年度末現在有効求職者数_身体障害者_人","年度末現在有効求職者数_知的障害者_人","年度末現在有効求職者数_その他の障害者_人","新規求職申込件数_身体障害者_件","新規求職申込件数_知的障害者_件","新規求職申込件数_その他の障害者_件","就職件数_ 身体 障害者_件","就職件数_知的障害者_件","就職件数_その他の障害者_件"
"平成15年度(2003年度）)","75689.0","54314.0","21375.0","13920.0","10030.0","3890.0","2855.0","2288.0","567.0","3.8","4.2","2.7","1292.0","295.0","142.0","505.0","132.0","55.0","177.0","78.0","20.0"
"平成16年度(2004年度）)","60482.0","44357.0","16125.0","11199.0","8381.0","2818.0","2774.0","2177.0","597.0","4.6","4.9","3.7","1059.0","320.0","133.0","469.0","123.0","40.0","182.0","78.0","27.0"
"平成17年度(2005年度）)","52864.0","39557.0","13307.0","10338.0","7680.0","2658.0","2478.0","1843.0","635.0","4.7","4.7","4.8","1046.0","285.0","133.0","477.0","123.0","70.0","208.0","73.0","24.0"
"","","","","","","","","","","","","","","","","","","","","",""
"平成18年度(2006年度）)","49404.0","36162.0","13242.0","9817.0","7162.0","2655.0","2416.0","1727.0","689.0","4.9","4.8","5.2","903.0","227.0","119.0","548.0","199.0","140.0","231.0","74.0","51.0"
"平成19年度(2007年度）)","46222.0","33661.0","12561.0","9484.0","6836.0","2648.0","2619.0","1801.0","818.0","5.666133010254857","5.350405513799352","6.512220364620651","853.0","260.0","175.0","478.0","182.0","153.0","198.0","98.0","63.0"
"平成20年度(2008年度）)","46689.0","34382.0","12307.0","10050.0","7220.0","2830.0","2596.0","1749.0","847.0","5.6","5.1","6.9","887.0","288.0","249.0","418.0","153.0","185.0","171.0","93.0","83.0"
"平成21年度(2009年度）)","57192.0","41979.0","15213.0","11638.0","8389.0","3249.0","3132.0","2100.0","1032.0","5.5","5.0","6.8","794.0","226.0","235.0","457.0","144.0","189.0","191.0","76.0","91.0"
"平成22年度(2010年度）)","56610.0","41271.0","15070.0","11848.0","8375.0","3382.0","3468.0","2294.0","1135.0","6.1","5.6","7.5","1020.0","299.0","371.0","526.0","180.0","262.0","208.0","129.0","119.0"
"","","","","","","","","","","","","","","","","","","","","",""
"平成23年度(2011年度）)","54660.0","38788.0","15778.0","11463.0","7950.0","3490.0","3327.0","2275.0","1042.0","6.1","5.9","6.6","952.0","307.0","426.0","508.0","216.0","293.0","211.0","138.0","135.0"
"平成24年度(2012年度）)","50641.0","35206.0","15354.0","10683.0","7236.0","3430.0","3142.0","2075.0","1064.0","6.2","5.9","6.9","1015.0","333.0","503.0","522.0","232.0","379.0","226.0","137.0","188.0"
"平成25年度(2013年度）)","48501.0","33322.0","15088.0","10164.0","6761.0","3390.0","3031.0","1982.0","1047.0","6.2","5.9","6.9","1040.0","360.0","581.0","533.0","221.0","392.0","231.0","146.0","212.0"
"平成26年度(2014年度）)","45997.0","30858.0","15074.0","9748.0","6368.0","3372.0","3077.0","1923.0","1154.0","6.7","6.2","7.7","1045.0","401.0","660.0","466.0","247.0","435.0","201.0","141.0","199.0"
